seqnum,sex,province,age,DEP_TOTAL
479,ชาย,บุรีรัมย์,63,6205.87
480,หญิง,บุรีรัมย์,48,1979.14
481,หญิง,บุรีรัมย์,45,1979.14
482,หญิง,บุรีรัมย์,42,7532.9
483,ชาย,บุรีรัมย์,46,4140.33
484,หญิง,บุรีรัมย์,62,8878.05
485,ชาย,บุรีรัมย์,60,1979.76
486,หญิง,บุรีรัมย์,57,2309.92
487,หญิง,บุรีรัมย์,57,14288.95
488,หญิง,บุรีรัมย์,55,26892.38
489,ชาย,กาฬสินธุ์,90,902.39
490,ชาย,บุรีรัมย์,57,231.46
491,หญิง,บุรีรัมย์,53,0.57
492,หญิง,บุรีรัมย์,64,3080.24
493,หญิง,บุรีรัมย์,48,440485.53
494,ชาย,บุรีรัมย์,56,73079.1
495,หญิง,บุรีรัมย์,50,60650.43
496,หญิง,บุรีรัมย์,61,5151.91
497,หญิง,บุรีรัมย์,69,11513.87
498,หญิง,บุรีรัมย์,58,137.55
499,หญิง,บุรีรัมย์,64,0.33
500,หญิง,บุรีรัมย์,57,1048.73
501,หญิง,บุรีรัมย์,62,70089.23
502,ชาย,บุรีรัมย์,52,0
503,หญิง,บุรีรัมย์,43,11421.79
504,หญิง,บุรีรัมย์,67,24973.33
505,ชาย,บุรีรัมย์,47,1293.63
506,หญิง,บุรีรัมย์,49,8889.07
507,หญิง,บุรีรัมย์,53,1972.69
508,หญิง,บุรีรัมย์,41,3633.28
509,หญิง,บุรีรัมย์,64,1990.09
510,หญิง,บุรีรัมย์,53,4103.68
511,ชาย,บุรีรัมย์,69,33187.25
512,หญิง,บุรีรัมย์,41,2716.07
513,หญิง,บุรีรัมย์,51,592.79
514,หญิง,บุรีรัมย์,43,394.91
515,หญิง,บุรีรัมย์,59,9457.67
516,ชาย,บุรีรัมย์,52,27697.77
517,ชาย,บุรีรัมย์,55,2334.85
518,ชาย,บุรีรัมย์,56,1752.59
519,ชาย,บุรีรัมย์,50,2804.6
520,หญิง,บุรีรัมย์,39,37598.24
521,หญิง,บุรีรัมย์,63,23694.35
522,ชาย,บุรีรัมย์,56,12055.22
523,ชาย,บุรีรัมย์,46,763395.63
524,หญิง,บุรีรัมย์,50,23304.14
525,ชาย,บุรีรัมย์,65,19808.04
526,ชาย,บุรีรัมย์,52,2030.03
527,ชาย,บุรีรัมย์,48,2142.35
528,ชาย,ระยอง,52,2219.67
529,ชาย,บุรีรัมย์,48,183.57
530,ชาย,บุรีรัมย์,63,169144.27
531,ชาย,บุรีรัมย์,60,2658.95
532,ชาย,บุรีรัมย์,50,1906.63
533,หญิง,บุรีรัมย์,64,3840.82
534,หญิง,บุรีรัมย์,54,3863.85
535,ชาย,บุรีรัมย์,52,14353.22
536,ชาย,บุรีรัมย์,59,4381.72
537,ชาย,บุรีรัมย์,49,3315.37
538,หญิง,บุรีรัมย์,55,3105.6
539,หญิง,อุดรธานี,50,1983.43
540,ชาย,บุรีรัมย์,58,17217.36
541,ชาย,บุรีรัมย์,49,2198.24
542,ชาย,บุรีรัมย์,53,6.66
543,หญิง,บุรีรัมย์,50,15575.67
544,หญิง,บุรีรัมย์,57,1586.18
545,หญิง,บุรีรัมย์,68,2809.39
546,หญิง,ชัยภูมิ,52,3704.57
547,ชาย,นครราชสีมา,69,220.16
548,หญิง,บุรีรัมย์,67,1373.19
549,หญิง,บุรีรัมย์,56,29
550,หญิง,บุรีรัมย์,64,111745.18
551,หญิง,บุรีรัมย์,67,4003.81
552,หญิง,บุรีรัมย์,64,3217.34
553,ชาย,บุรีรัมย์,63,0
554,หญิง,บุรีรัมย์,59,226433.51
555,ชาย,บุรีรัมย์,69,2301.96
556,หญิง,บุรีรัมย์,59,5289.34
557,หญิง,บุรีรัมย์,50,38080.22
558,หญิง,บุรีรัมย์,49,175107.04
559,ชาย,บุรีรัมย์,66,10382.75
560,หญิง,บุรีรัมย์,61,56.77
561,หญิง,บุรีรัมย์,47,7721.22
562,หญิง,บุรีรัมย์,62,6127.6
563,หญิง,บุรีรัมย์,50,5311.09
564,ชาย,บุรีรัมย์,58,25174.88
565,ชาย,บุรีรัมย์,59,818
566,หญิง,บุรีรัมย์,47,37580.99
567,หญิง,นครนายก,47,127.51
568,ชาย,บุรีรัมย์,67,744.33
569,ชาย,บุรีรัมย์,60,12992.48
570,ชาย,บุรีรัมย์,57,3551.37
571,ชาย,บุรีรัมย์,55,97547.15
572,ชาย,บุรีรัมย์,80,15192.64
573,หญิง,บุรีรัมย์,48,501.19
