seqnum,sex,province,age,DEP_TOTAL,Cluster
653,0,10,58,3603.51,0
654,0,10,62,1953.97,0
655,0,10,57,31968.26,0
656,0,10,66,15077.51,0
657,1,1,79,22346.17,0
658,1,10,47,1872.44,0
659,0,10,57,1972.89,0
660,0,10,60,1873.32,0
661,1,10,70,2289.45,0
662,0,10,52,2805.79,0
663,0,10,45,51249.81,0
664,1,10,48,0.0,0
665,1,10,57,13624.29,0
666,0,10,53,16547.48,0
667,1,10,68,384.68,0
668,1,10,55,8449.42,0
669,1,10,71,2842.97,0
670,1,10,57,1.0,0
671,1,10,57,2825.79,0
672,1,10,61,4843.05,0
673,1,10,59,3348.68,0
674,1,10,62,21996.65,0
675,1,10,51,3893.08,0
676,1,1,84,39577.79,0
677,1,10,54,1878.42,0
678,1,10,65,3750.24,0
679,0,10,52,16.89,0
680,0,10,53,5977.05,0
681,0,10,55,709130.87,4
682,0,10,74,398.63,0
683,0,10,60,18633.84,0
684,0,10,44,1909.47,0
685,0,10,57,633.02,0
686,0,10,55,12200.48,0
687,1,10,57,5170.82,0
688,1,10,58,13498.92,0
689,0,10,57,4901.92,0
690,1,10,52,1010.09,0
691,0,10,56,905004.0,4
692,0,10,47,9486.48,0
693,0,10,68,3016.13,0
694,1,10,44,0.0,0
695,1,10,47,732.12,0
696,0,10,45,215.36,0
697,0,10,50,380000.12,2
698,0,10,59,387008.23,2
699,0,10,52,10.25,0
700,1,10,57,7710.98,0
701,0,10,55,1923.11,0
702,0,10,66,5077.48,0
703,0,10,53,1921.96,0
704,0,10,53,1974.13,0
705,0,10,54,2420.18,0
706,1,10,51,1951.07,0
707,0,10,45,26178.63,0
708,1,10,60,6258.32,0
709,1,10,54,2014.49,0
710,0,10,70,5995.92,0
711,0,10,49,70499.81,3
712,0,10,46,44375.6,0
713,1,10,53,1667.25,0
714,0,10,46,69636.31,3
715,0,10,57,26597.6,0
716,0,10,60,65100.0,3
717,0,10,65,2558.29,0
718,1,10,56,0.0,0
719,0,10,45,8042.72,0
720,0,20,39,2852.79,0
721,0,10,57,2410.11,0
722,1,10,40,300.62,0
723,0,10,40,2022.93,0
724,0,16,38,0.98,0
725,1,10,42,45.95,0
726,1,10,44,94.57,0
727,1,10,53,1858.77,0
728,1,10,73,12.53,0
729,0,10,68,1154.75,0
730,0,10,67,28466.23,0
731,1,10,60,6076.15,0
732,0,10,68,115942.08,3
733,0,10,51,0.0,0
734,0,10,44,598.89,0
735,1,10,51,92853.33,3
736,1,10,64,12661.16,0
737,0,10,48,93795.58,3
738,0,10,59,477.94,0
739,0,10,41,96.01,0
740,0,10,64,3254.41,0
741,0,10,66,872.82,0
742,0,11,69,59.04,0
743,0,10,48,591.24,0
744,0,10,66,13330.63,0
745,1,10,68,2687.73,0
746,0,10,43,2107.65,0
747,0,10,65,1234.69,0
748,0,10,56,3951.18,0
749,1,10,46,0.0,0
750,1,10,53,159.18,0
751,0,10,56,3320.43,0
752,0,10,50,0.0,0
753,0,10,56,8790.09,0
754,0,10,36,4175.38,0
755,0,10,64,9051.5,0
756,0,10,55,3478.38,0
757,1,10,67,1478.25,0
758,1,10,50,521.96,0
759,0,10,71,2246.63,0
760,0,10,52,6930.36,0
761,0,10,77,139591.59,3
762,0,10,41,52767.7,0
763,0,10,73,15439.42,0
764,1,10,40,28.27,0
765,0,10,52,462.5,0
766,1,10,39,74.12,0
767,0,10,59,88.01,0
768,0,10,64,2254.26,0
769,0,10,67,15998.22,0
770,0,10,53,0.6,0
771,1,10,58,188.87,0
772,0,10,73,3.97,0
773,1,10,63,8908.28,0
774,0,10,59,42.71,0
775,1,10,61,686.87,0
776,1,10,57,4609.85,0
777,1,10,54,23507.4,0
778,1,10,60,1847.19,0
779,1,10,53,15011.22,0
780,1,10,58,0.0,0
781,0,10,53,1876.74,0
782,0,10,51,38072.15,0
783,0,10,61,67624.07,3
784,0,10,74,8445.25,0
785,0,10,61,3010.17,0
786,0,10,57,461038.08,2
787,1,10,63,15142.79,0
788,1,1,101,161.12,0
789,0,10,54,633.56,0
790,0,10,49,37671.85,0
791,0,10,59,279.79,0
792,1,10,46,280.01,0
793,0,10,47,3659.87,0
794,1,10,53,10991.6,0
795,0,10,49,7799.7,0
796,0,0,57,6131.91,0
797,0,10,58,1923.16,0
798,0,10,54,26857.58,0
799,1,10,67,6037.19,0
800,0,10,65,4104.34,0
801,0,3,50,5668.13,0
802,0,10,45,33159.35,0
803,0,10,56,5482.82,0
804,0,10,64,7900.35,0
805,0,10,49,6365.53,0
806,1,1,86,1480.43,0
807,0,10,48,4119.95,0
808,1,10,56,16944.95,0
809,1,10,44,23089.18,0
810,0,10,48,33479.88,0
811,0,10,52,6459.03,0
812,0,10,52,5123.51,0
813,0,10,55,4249.82,0
814,0,10,64,2570.21,0
815,0,10,49,2529.3,0
816,1,10,59,4956.68,0
817,0,10,47,13508.52,0
818,0,10,51,1892.07,0
819,0,10,48,6702.3,0
820,0,10,50,10130.87,0
821,0,10,54,23861.7,0
822,0,10,62,517.36,0
823,0,10,67,12897.3,0
824,1,10,62,18536.94,0
825,1,10,72,103357.24,3
826,1,1,80,0.0,0
827,1,10,73,500.88,0
828,1,10,58,0.0,0
829,1,10,66,5.42,0
830,0,10,62,682.13,0
831,1,10,70,771.08,0
832,1,10,59,3599.4,0
833,1,10,66,23982.29,0
834,0,10,67,143521.19,3
835,1,10,46,19184.93,0
836,1,10,43,2535.19,0
837,0,10,42,1834.17,0
838,1,10,61,15860.69,0
839,0,10,47,9715.16,0
840,1,10,48,1824.56,0
841,0,10,59,1919.33,0
842,0,10,51,5315.29,0
843,0,10,63,17293.91,0
844,0,10,50,1848.21,0
845,0,10,42,3838.18,0
846,0,10,57,0.18,0
847,0,10,55,68528.11,3
848,0,6,60,55527.96,0
849,1,10,46,8813.84,0
850,0,10,52,243.24,0
851,0,10,65,24561.72,0
852,0,10,56,106.52,0
853,0,10,55,36497.14,0
854,0,10,53,16.01,0
855,0,10,67,8607.52,0
856,0,10,60,13232.41,0
